"job_id","job_title","job_location","job_schedule_type","salary_year_avg","job_posted_date","company_name"
284410,"Data Analyst","Anywhere","Full-time","98750.0","2023-09-16","Goldbelt, Inc."
1149238,"Data Analyst IV (Healthcare Analytics) - Remote | WFH","Anywhere","Full-time","98500.0","2023-02-27","Get It Recruit - Technology"
1044426,"Remote Epic Bridges Analyst with Data Conversion Expertise","Anywhere","Full-time","98000.0","2023-11-30","Get It Recruit - Information Technology"
1691565,"Data Analyst - Healthcare","Anywhere","Full-time","97500.0","2023-01-26","InvestM Technology LLC"
1714018,"Privacy Data Analyst- (remote)","Anywhere","Full-time","97500.0","2023-01-09","Cognizant Technology Solutions"
498516,"Mid-Level Data Analyst - Python/SQL/PowerBI/Tableau","Anywhere","Full-time","97500.0","2023-05-30","Motion Recruitment"
630777,"Quantitative Data Analyst (CRE / CMBS)","Anywhere","Full-time","97500.0","2023-10-20","CRED iQ"
35406,"Provider Data Configuration Analyst IV","Anywhere","Full-time","97070.5","2023-12-20","Central California Alliance for Health (Remote)"
339556,"Lead Master Data Analyst (Remote or Onsite)","Anywhere","Full-time","97000.0","2023-05-09","Driscoll's"
1299756,"Data Analyst (Apex Legends)","Anywhere","Full-time","96400.0","2023-06-22","Respawn Entertainment"
1791218,"Data Analyst","Anywhere","Full-time","95700.0","2023-01-20","Booz Allen Hamilton"
703426,"Data Analyst (QA)","Anywhere","Full-time","95680.0","2023-01-05","Insight Global"
1601917,"Data Analyst (QA)","Anywhere","Full-time","95680.0","2023-01-05","Insight Global"
1519639,"Data Analyst, Mid","Anywhere","Full-time","95650.0","2023-08-30","Booz Allen Hamilton"
735880,"Data Analyst Lead - Remote","Anywhere","Full-time","95500.0","2023-05-18","Olympus Corporation of the Americas"
354407,"Data Analyst","Anywhere","Full-time","95329.0","2023-08-11","Get It Recruit - Finance"
690438,"Risk Adjustment Data Analytics Lead","Anywhere","Full-time","95150.0","2023-07-26","CVS Health"
369634,"Data Analyst - Looker","Anywhere","Full-time","95000.0","2023-02-23","Hays"
1491918,"Informatics Data Analyst II","Anywhere","Full-time","95000.0","2023-03-29","IDR, Inc."
796604,"Data Analyst","Anywhere","Full-time","95000.0","2023-11-03","Polygence"
1355313,"Data Integration Analyst","Anywhere","Full-time","95000.0","2023-07-20","United Site Services"
1156421,"Data Analyst Role","Anywhere","Full-time","95000.0","2023-02-25","Motion Recruitment"
328827,"Data Analyst (Greater LA Area, CA or Remote)","Anywhere","Full-time","95000.0","2023-01-06","HopSkipDrive"
1240374,"Data Analyst","Anywhere","Full-time","95000.0","2023-04-18","Insight Global"
542425,"Data Analyst","Anywhere","Full-time","95000.0","2023-01-04","Jobot"
334078,"Data Analyst * Work from home","Anywhere","Full-time","95000.0","2023-10-12","American Red Cross"
78069,"Data Analyst","Anywhere","Full-time","95000.0","2023-10-31","Polygence"
1359967,"(Remote) Marketing Data Analyst","Anywhere","Full-time","95000.0","2023-05-26","Clark Associates"
1467775,"Data Analyst","Anywhere","Contractor","95000.0","2023-07-12","Insight Global"
1230135,"Data Analyst, Financial Services","Anywhere","Full-time","95000.0","2023-01-23","Earnest Analytics"
430230,"Data Analyst III (REMOTE)","Anywhere","Full-time","95000.0","2023-06-14","Ryder System"
945198,"Program/Data Analyst (Health Services) Remote!","Anywhere","Full-time","95000.0","2023-07-03","General Dynamics Information Technology"
204667,"Data Analyst","Anywhere","Full-time","95000.0","2023-10-10","Get It Recruit - Finance"
1127339,"Data Analyst","Anywhere","Full-time","94871.5","2023-08-25","Protect Democracy"
961597,"Sustainability Oversight Data Lead Analyst - Remote","Anywhere","Full-time","94400.0","2023-09-05","The Cigna Group"
1243771,"Business Data Analyst","Anywhere","Full-time","94000.0","2023-06-16","Tactis LLC"
75704,"Data Analyst","Anywhere","Full-time","93000.0","2023-09-13","Get It Recruit - Information Technology"
133125,"Statistical Data Analyst","Anywhere","Full-time","93000.0","2023-11-21","Get It Recruit - Information Technology"
960363,"Sr. People Data Analyst","Anywhere","Full-time","92750.0","2023-04-12","Medidata Solutions"
1098113,"Data Analyst [70649]","Anywhere","Full-time","92500.0","2023-02-24","0nward Select"
1190547,"Operations Data Analyst (Greater LA Area, CA or Remote)","Anywhere","Full-time","92500.0","2023-02-02","HopSkipDrive"
758193,"Data Analyst (US REMOTE)","Anywhere","Full-time","92500.0","2023-02-15","LeanTaaS"
738823,"Data Insights Analyst (all genders) - Remote","Anywhere","Full-time","92000.0","2023-09-04","OUTFITTERY"
1178655,"Data Analyst","Anywhere","Full-time","91000.0","2023-12-05","Get It Recruit - Information Technology"
1647550,"Data Analyst","Anywhere","Full-time","90000.0","2023-04-28","Get It Recruit - Finance"
648986,"Healthcare Data Analyst","Anywhere","Full-time","90000.0","2023-10-01","Get It Recruit - Finance"
1152523,"Real Estate Transaction Data Analyst","Anywhere","Full-time","90000.0","2023-09-21","Get It Recruit - Real Estate"
196796,"Data Analyst","Anywhere","Full-time","90000.0","2023-08-19","Angi"
714930,"Data Analyst","Anywhere","Full-time","90000.0","2023-01-10","Motion Recruitment"
514485,"Health Data Lead Analyst - Fully Remote","Anywhere","Full-time","90000.0","2023-07-15","Constant Associates"
382064,"Data Analyst or Data Scientist","Anywhere","Full-time","90000.0","2023-12-29","Get It Recruit - Finance"
321007,"Data Analysis Manager","Anywhere","Full-time","90000.0","2023-02-23","Maximus"
846860,"Real Estate Data Analyst","Anywhere","Full-time","90000.0","2023-09-12","Get It Recruit - Real Estate"
326110,"Healthcare Data Analyst","Anywhere","Full-time","90000.0","2023-03-06","Preveta"
613034,"Credit Data Analyst","Anywhere","Full-time","90000.0","2023-09-09","Get It Recruit - Finance"
680315,"Data Analyst","Anywhere","Full-time","90000.0","2023-05-28","Gotely"
391159,"Data Science Analyst","Anywhere","Full-time","90000.0","2023-01-11","CVS Health"
